avg_cost,cuisines,id,location,name,price_range,rating
300,"Continental, Italian",18419857,"No 8/30, 30th Cross, Jayanagar 4th Block, Bengaluru",Bready Steady Go,1,4.3
150,South Indian,18630678,"6, 9th Cross, 9th Main, 2nd Block, Jayanagar, Bangalore",Bengaluru Cafe,1,4.5
200,"Mithai, South Indian",18359900,"Opposite Ganesha Temple Circle, 4th Block, Jayanagar, Bangalore",Mane Holige,1,4.3
600,"Pizza, Cafe, Italian",18359919,"Site 15, 15th Cross, 100 Feet Road, 4th Phase, JP Nagar, Bangalore",Onesta,2,4.5
1500,"Continental, Finger Food",18874059,"607, 15th Cross, Outer Ring Road, 1st Phase, JP Nagar, Bangalore",The Pump House,3,4.3
1500,Italian,18603835,"172/1, Unit 3, 3rd Floor, Vega City Mall, Srinivasa Industrial Estate, Bannerghatta Road, Bangalore",Chianti,3,4.5
750,"North Indian, Arabian, South Indian, Chinese, Biryani",55397,"4, Opposite NMKRV College, 21st C Cross Road, 3rd Block, Jayanagar, Bangalore",Empire Restaurant,2,4.4
1500,"European, Continental",18651545,"47/1, 4th Floor, 9th Cross, 1st Main, Miniforest, Phase 3, JP Nagar, Bangalore",Three Dots & A Dash,3,4.3
600,"Biryani, North Indian, Chinese",51232,"52, 1st Floor, 33rd Cross, 4th Block, Jayanagar, Bangalore",Meghana Foods,2,4.4
750,"North Indian, Arabian, South Indian, Chinese, Biryani",18290073,"4 & 5, Green Orchards Layout, 1st Cross, Bannerghatta Road, Bangalore",Empire Restaurant,2,4.3
